"Story","Title","Result","Date","Stability","Duration (s)"
"Inventory Stock at app.jubelio","Inventory Stock","SUCCESS","2023-10-05T21:51:45.0240599+07:00[Asia/Jakarta]","0.0","59.57"
"Inventory Stock at app.jubelio","Inventory Stock - Delete","SUCCESS","2023-10-05T21:52:44.6033169+07:00[Asia/Jakarta]","0.0","51.12"
